Number,Symbol,Name,Details,Version,Token Address,Etherscan Link,Owner,Granularity,Total Supply,Transfers Frozen,Minting Frozen,Controller,Investor,Latest Checkpoint,Modules Attached (PermissionManager),Modules Attached (TransferManager),Modules Attached (STO),Modules Attached (Checkpoint),Modules Attached (Burn)
117,OSQO,OSQOIN,https://www.osqo.org/osqoin.html,2.0.0,0x0fbbcdb17f227df889cc4f22d8289a5b48947f0e,https://etherscan.io/token/0x0fbbcdb17f227df889cc4f22d8289a5b48947f0e,0x16FCFC44a3d5681EE75ee34085791e59EF389B95,1,"109,900,017",FALSE,FALSE,0x0000000000000000000000000000000000000000,27,0,0,1,0,0,0
118,BIU,Blockchain International University,,2.0.0,0x80f9d8b5e177accea4435153ce270cfc48bd1bc3,https://etherscan.io/token/0x80f9d8b5e177accea4435153ce270cfc48bd1bc3,0x1E5Fce768dbB73e79d66e315d46669d49cB34bfd,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,2,0,0,0
119,PRIVKEY,PrivKey Token,,2.0.0,0x9c7af548fd2d825e5f201a40624ba289b484f5c2,https://etherscan.io/token/0x9c7af548fd2d825e5f201a40624ba289b484f5c2,0x87Df884d84cfefe7B12c579e86b16E819F8e6aBD,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
120,CET,Cubicverse Equity Token,,2.0.0,0x92b43095f7e92a6576f1245f353667b12d9a9e81,https://etherscan.io/token/0x92b43095f7e92a6576f1245f353667b12d9a9e81,0x49d323ee43128F7e90f40c8a0eCAe69dE37Db18e,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
121,ZONTLE,Cenzontle Technologies,,2.0.0,0xca629726f8fb2d5385db842984a108c9840d7bc6,https://etherscan.io/token/0xca629726f8fb2d5385db842984a108c9840d7bc6,0x6442c72aBD1a9d14c303277a8C994Fae295b6BCB,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,1,0
122,SANA,SANA Token,https://bit.ly/2K1a24d,2.0.0,0x802690096566d2bd4bb2c2c574bcbc3da5e5868d,https://etherscan.io/token/0x802690096566d2bd4bb2c2c574bcbc3da5e5868d,0xCE4E64e7DAB574f970631aBc8E46EaF9A64F8Fc6,1,"66,616,439",FALSE,FALSE,0x0000000000000000000000000000000000000000,94,0,0,1,0,0,0
123,GMI,GM Informatics,,2.0.0,0x1d0351358097e579b30ae13ce1f52f8828390cb1,https://etherscan.io/token/0x1d0351358097e579b30ae13ce1f52f8828390cb1,0x9052Bac61Df74d842331B8513DEd60Db5aD4EB99,1.00E+18,"8,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
124,USDL,USD Loans Token,,2.0.0,0x6163f15da69f3d576cf463729cacf27b2b102588,https://etherscan.io/token/0x6163f15da69f3d576cf463729cacf27b2b102588,0x470D0fF74A659f84F4167AC0A5adB8b34e612F2B,1,0,TRUE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
125,BBE,BlueBird Experience,,2.0.0,0x3b334d7b9526a6d0141d0b19d93408cae06e39fa,https://etherscan.io/token/0x3b334d7b9526a6d0141d0b19d93408cae06e39fa,0x41c3331e2c970C1c8b2adA9397aBC59FD1Ab099e,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
126,RBTET,ROSENBRIDGE TECHNOLOGY EQUITY TOKEN,https://www.rbt.design/,2.0.0,0x141a13c9c41f5c9e357ef0674e48f3ed235aaf94,https://etherscan.io/token/0x141a13c9c41f5c9e357ef0674e48f3ed235aaf94,0x4512a7609d256881998340b4A5796c53c772e5f9,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
127,SIKZ,SIKZ,,2.0.0,0x97ac3b2a4a6fb92d41911a679c65b99798bf2414,https://etherscan.io/token/0x97ac3b2a4a6fb92d41911a679c65b99798bf2414,0x7a0E841abC23fC519190F756eaB2A7e5F1245679,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
128,ALUX,ALUX,,2.0.0,0xa6c16e67ff011c9ffdbf7061f8676d6aa96d1506,https://etherscan.io/token/0xa6c16e67ff011c9ffdbf7061f8676d6aa96d1506,0xFef338a2b45682fa7eF1ac116755F5DFcD6CE7Cf,1.00E+18,"15,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,3,0,0,1,0,0,0
129,QUAKE,QuakeCoin,https://www.blockquake.com,2.0.0,0xefd3435c78973e510dd443441d382ad2693f95fd,https://etherscan.io/token/0xefd3435c78973e510dd443441d382ad2693f95fd,0xdaf03da1d858876f71512CAe20dE194dBc3e3C15,1,"50,500",FALSE,FALSE,0x0000000000000000000000000000000000000000,5,0,0,1,0,0,0
130,RPRC,Real Property Real Capital,,2.0.0,0xaa5b2a23331e09d16c19eba3634e9a6fee43444d,https://etherscan.io/token/0xaa5b2a23331e09d16c19eba3634e9a6fee43444d,0x627E30c3364817BAE2648E4e4D9914dBa106BFb1,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
131,MAPLE,The Maple Leaf,,2.0.0,0xdaf590ec1fc20d53d3cd8c1daaa1447061f87eb5,https://etherscan.io/token/0xdaf590ec1fc20d53d3cd8c1daaa1447061f87eb5,0xFef338a2b45682fa7eF1ac116755F5DFcD6CE7Cf,1.00E+18,"15,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,3,0,0,1,0,0,0
132,SEX,Sex,,2.0.0,0xd0a94121113bb874074d9ff82c1705e9cd9eea1e,https://etherscan.io/token/0xd0a94121113bb874074d9ff82c1705e9cd9eea1e,0x44F97283227fDFf79c48658A9435e7a13019037f,1,"1,000,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
133,GRNRBR,Green Rubber,https://www.greenrubbergroup.com/investor/ir/,2.0.0,0x39cef52701d2c0f2d95a6ef9fc020ef43e690f5d,https://etherscan.io/token/0x39cef52701d2c0f2d95a6ef9fc020ef43e690f5d,0x5F519d0FE7A42A5637F81b81aA79f864E6Cc59CD,1.00E+18,0,TRUE,FALSE,0x5F519d0FE7A42A5637F81b81aA79f864E6Cc59CD,0,0,0,1,0,0,0
134,CTODIV1,CommTrade Dividend Token,,2.0.0,0x38e1bb648671e5736967e4cc5927b2afc68a3e25,https://etherscan.io/token/0x38e1bb648671e5736967e4cc5927b2afc68a3e25,0xc1f7725c1Eb192A492b6A9b0052e937F59c976f7,1,"1,011,615",FALSE,FALSE,0x0000000000000000000000000000000000000000,5,0,0,1,0,0,0
135,BRBI,Barbie,,2.0.0,0x98b6949f4337159c7ae4ce1afa9ec31d5e29bd3c,https://etherscan.io/token/0x98b6949f4337159c7ae4ce1afa9ec31d5e29bd3c,0x1062DAe91F7a534aAfFecA274D7AC3aaa2b0d954,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
136,SCM,smartChem,https://smartchem.io/,2.0.0,0x9b327340e76a9043f078e6f8dad5ad2606234ffb,https://etherscan.io/token/0x9b327340e76a9043f078e6f8dad5ad2606234ffb,0x1751c5f5B3c3A989F5D9fD1806543dC4b97C6d0d,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
137,EURO,Deutschland,https://www.Deutschland.de,2.0.0,0x9abfadcaa8d05c5d1fc81365f2baa77ee9377b5d,https://etherscan.io/token/0x9abfadcaa8d05c5d1fc81365f2baa77ee9377b5d,0x7DE50C6991b41Dca49b11a20660436D48C3f613E,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
138,EXST,Einstein Exchange Security Token,,2.0.0,0xe4dd566b410fe45db55bd9f5f928269290b0a674,https://etherscan.io/token/0xe4dd566b410fe45db55bd9f5f928269290b0a674,0xa782a900928d93066611036864c0Ac72F8238e86,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,1,0
139,EVG,EVG Token,,2.0.0,0x5a34cb85606cfddcdb30d300eb29e12501bd8042,https://etherscan.io/token/0x5a34cb85606cfddcdb30d300eb29e12501bd8042,0xd5833d3A962F5B5F9a424947Ff6588E5E142f73e,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
140,PSIMP,PSIM Property,,2.0.0,0x700cbc22df84d733ab12d9506d612f6f0ca02be4,https://etherscan.io/token/0x700cbc22df84d733ab12d9506d612f6f0ca02be4,0x8eE01d1d033DBaA07Ee3992BA28A15Ba63796F5D,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
141,HEALTH,MyHealth,,2.0.0,0x194bdb380494ca145e2cc93c69f581255a895d17,https://etherscan.io/token/0x194bdb380494ca145e2cc93c69f581255a895d17,0xF04689EF60815EC9FE08f8609DD2881eFc5c6176,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,1,0,1,0,1,0
142,BUSHNELL-A,Bushnell,,2.0.0,0x50dd6f6923a425867a75bb93dc445197d0a4041e,https://etherscan.io/token/0x50dd6f6923a425867a75bb93dc445197d0a4041e,0xE595397b0ac4bfb76D9399111bC579c04A243334,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
143,CROW,Crow Coin,,2.0.0,0xa16c515b3026a5232c53de0e10613b76d7e35797,https://etherscan.io/token/0xa16c515b3026a5232c53de0e10613b76d7e35797,0x260e30FE5DcB53227847D6b1E01203Fa32CB973d,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
144,BLT,BetterLife Token,http://betterlife.li/dashboard,2.0.0,0xb76a0878b3cccb1d97a5eda51f99ecabd40e58d9,https://etherscan.io/token/0xb76a0878b3cccb1d97a5eda51f99ecabd40e58d9,0x5a0f528D0B1a969C39fb4BC56d3eC83efE7Ec355,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
145,TIMER,TIMER,,2.0.0,0xbdf53a2e9aa341f3f397540d660deb6a78f36207,https://etherscan.io/token/0xbdf53a2e9aa341f3f397540d660deb6a78f36207,0x92847CEcF5516Cd7D9D51000b159A7cb9371D783,1,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
146,HFH,Horton Family Homes Token,https://www.hortonfamilyhomes.com/presentation,2.0.0,0xbb64fc977b0cdc83d2d1e7ae294d1e9caf91254d,https://etherscan.io/token/0xbb64fc977b0cdc83d2d1e7ae294d1e9caf91254d,0x99DF280263Ac2Ee9C5A44985Dc9620AF875A7f05,1,"500,000,000",FALSE,FALSE,0x0000000000000000000000000000000000000000,3,0,0,1,0,1,0
147,ZIYENCOIN,ZiyenCoin,,2.0.0,0x4a54057bc028d71d4291946d73f5494e8b663bae,https://etherscan.io/token/0x4a54057bc028d71d4291946d73f5494e8b663bae,0x968210F731E21F2FE89c11007C36273aB3ac7adD,1.00E+18,"70,003,625",FALSE,FALSE,0x0000000000000000000000000000000000000000,25,0,0,1,0,0,0
148,RUDRA,RUDRA,,2.0.0,0x49e0822d985cf6553633b066ef5ef1c7ddf0f1e6,https://etherscan.io/token/0x49e0822d985cf6553633b066ef5ef1c7ddf0f1e6,0xE5a884bBF504FF09Af7BAaD88f594Ab491d5Fbce,1.00E+18,0,FALSE,FALSE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
159,BLABS,Blockchain Labs Asia,https://www.blabs.asia/investor,3.0.0,0x3607f34271b8d734e323690dd71a0212627f91e5,https://etherscan.io/token/0x3607f34271b8d734e323690dd71a0212627f91e5,0xbE95Ea3B00285D580CfD737d626082c0514BF675,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
